Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
72.0,0.1039965,-0.9989194,1.102916,-1.587539,-0.2534734,-1.334066,0.5402961,-1.050918,-0.01898873,0.07133554,0.01667904,0.0546565
73.0,0.1040523,-1.000788,1.10484,-1.590325,-0.2533111,-1.337014,0.5418515,-1.052814,-0.01895987,0.07143736,0.01675881,0.05467855
74.0,0.1041134,-1.002633,1.106746,-1.593079,-0.2531556,-1.339923,0.5433839,-1.054689,-0.01893659,0.07153716,0.01683199,0.05470518
75.0,0.1041785,-1.004453,1.108632,-1.595798,-0.253006,-1.342792,0.5448932,-1.056543,-0.01891803,0.07163518,0.01689956,0.05473562
76.0,0.1042468,-1.006253,1.1105,-1.598487,-0.2528612,-1.345626,0.5463825,-1.058377,-0.01890336,0.07173168,0.01696248,0.0547692
77.0,0.1043168,-1.008028,1.112345,-1.601136,-0.252721,-1.348415,0.5478471,-1.060187,-0.0188916,0.07182671,0.01702176,0.05480496
78.0,0.1043877,-1.009778,1.114165,-1.603744,-0.2525846,-1.351159,0.5492873,-1.061972,-0.018882,0.07192038,0.01707819,0.0548422
79.0,0.1044589,-1.011502,1.115961,-1.606311,-0.2524518,-1.353859,0.5507035,-1.063732,-0.018874,0.07201275,0.01713237,0.05488038
80.0,0.1045314,-1.013205,1.117737,-1.608854,-0.2523246,-1.35653,0.5521026,-1.065471,-0.01886773,0.0721038,0.01718417,0.05491963
81.0,0.104604,-1.014883,1.119487,-1.611363,-0.2522019,-1.359161,0.5534794,-1.067185,-0.0188627,0.07219322,0.01723391,0.05495931
82.0,0.1046829,-1.016534,1.121217,-1.613837,-0.2520682,-1.361769,0.5548505,-1.068876,-0.0188651,0.0722789,0.01727435,0.05500455
83.0,0.1047624,-1.018142,1.122904,-1.616245,-0.2519328,-1.364312,0.5561898,-1.070523,-0.01887018,0.07236161,0.01731062,0.05505098
